|N|,|K|,|P|,Obj (Avg),% CS Del.,TTB [s],Iter Best,Reheats,Impr. %
24,75,50,279.98,52.67,192.97,409.93,12.07,3.09
36,75,50,272.13,61.07,284.29,587.87,19.6,7.13
44,75,50,218.63,77.47,359.74,908.67,14.67,17.99
24,100,75,273.5,80.44,303.13,404.0,9.0,12.36
36,100,75,270.65,80.8,296.56,415.67,7.07,13.24
44,100,75,350.01,67.38,338.71,579.53,6.6,10.89
24,150,120,462.34,76.78,360.05,236.53,1.47,6.6
36,150,120,450.03,81.06,381.77,601.93,8.27,12.78
44,150,120,516.17,72.72,416.52,962.47,17.8,21.32
