instance,solver,solver_type,class,family,objective,gap,root_bound_after_cuts,integrality_gap_root,status,time_s,nodes,presolve_time,time_to_best_s,memory_delta_gb,num_vars,num_constrs,percent_cs_delivery,num_delivered_parcels,num_parcels,num_cs
class_5_fam_1_inst_1.json,MILP_Base,MILP,5,1,2492.0,1.0,,,9,3706.143848657608,1.0,19.44,3.196213960647583,-0.032733917236328125,2737059,4189619,0.0,0,250,300
class_5_fam_1_inst_2.json,MILP_Base,MILP,5,1,2497.0,1.0,,,OutOfMemory,485.9361689090729,1.0,,,-0.037548065185546875,2746809,4199369,,,250,300
class_6_fam_0_inst_0.json,MILP_Base,MILP,6,0,96.41000000000001,0.0,95.53000000000003,0.00912768385022281,2,16.162219524383545,3,1.25,4.9891462326049805,0.0710906982421875,185515,303780,100.0,30,30,50
class_6_fam_0_inst_1.json,MILP_Base,MILP,6,0,98.21000000000001,0.0,97.86000000000001,0.0035637918745544677,2,24.91539764404297,1,1.98,5.623781681060791,0.0251617431640625,184795,303060,86.66666666666667,26,30,50
class_6_fam_0_inst_2.json,MILP_Base,MILP,6,0,99.9,0.0,99.37,0.005305305305305316,2,34.05962634086609,3,2.71,6.467055320739746,0.0295867919921875,191815,315175,86.66666666666667,26,30,50
class_6_fam_1_inst_0.json,MILP_Base,MILP,6,1,133.67999999999998,0.0,132.26,0.010622381807300926,2,35.79524898529053,7,1.62,6.420908212661743,-0.02016448974609375,270899,445209,73.33333333333333,22,30,50
class_6_fam_1_inst_1.json,MILP_Base,MILP,6,1,139.17,0.0,138.61999999999998,0.003952001149673144,2,30.525521516799927,1,2.34,6.691927433013916,0.00661468505859375,271979,446289,70.0,21,30,50
class_6_fam_1_inst_2.json,MILP_Base,MILP,6,1,150.42000000000002,0.0,150.28000000000006,0.0009307272969017279,2,27.995306968688965,1,1.85,5.494675874710083,-0.00522613525390625,279089,458494,73.33333333333333,22,30,50
class_6_fam_3_inst_0.json,MILP_Base,MILP,6,3,178.03,0.0,177.76000000000002,0.0015165983261247083,2,17.887649059295654,1,1.16,2.9802820682525635,-0.00189971923828125,303961,498651,56.666666666666664,17,30,50
class_6_fam_3_inst_1.json,MILP_Base,MILP,6,3,108.37,0.0,107.56,0.007474393282273712,2,37.894349575042725,1,4.41,9.447710037231445,-0.059635162353515625,343502,563667,90.0,27,30,50
class_6_fam_3_inst_2.json,MILP_Base,MILP,6,3,135.27,0.0,133.46999999999997,0.013306719893546533,2,30.483877658843994,1,2.9,7.004915475845337,0.025119781494140625,327302,537277,73.33333333333333,22,30,50





