|K|,|P|,|N|,Match Rate,Gap_Best,Gap_Mean,Gap_Worst,TTB Speedup,MILP_TTB,ALNS_TTB
50,30,24,25.0,4.51,4.65,5.04,0.06,3.89,150.79
50,30,36,25.0,0.99,1.14,1.36,0.03,4.94,218.43
50,30,44,55.0,0.37,0.48,0.63,0.06,6.06,139.93
75,50,24,10.0,0.13,3.48,5.32,0.1,22.4,247.37
75,50,36,5.0,5.03,7.59,10.63,0.13,18.21,192.19
75,50,44,20.0,1.54,2.58,3.34,0.04,15.3,361.4
100,75,24,6.67,0.45,3.77,5.77,0.27,112.3,452.8
100,75,36,13.33,0.12,3.93,7.55,0.2,75.9,380.46
100,75,44,6.67,0.91,4.04,7.03,0.15,74.75,494.61
